Player,Team,Pos,Injury,Status,Est. Return
Josh Townley-Thomas,Creighton,F,Foot,Out,Subscribers Only
Mady Traore,Washington,F,Foot,Out For Season,Subscribers Only
David Tubek,UTEP,F,Calf,Out,Subscribers Only
Bryson Tucker,Washington,F,Personal,Game Time Decision,Subscribers Only
Connor Turnbull,Evansville,F,Undisclosed,Game Time Decision,Subscribers Only
Ifeanyi Ufochukwu,Duke,C,Knee,Out For Season,Subscribers Only
Emmanuel Ugbo,Washington State,F,Suspension,Game Time Decision,Subscribers Only
Divine Ugochukwu,Michigan State,G,Foot,Out For Season,Subscribers Only
Robert Vaihola,Minnesota,C,Knee,Out For Season,Subscribers Only
Jaret Valencia,Wichita State,F,Achilles,Out For Season,Subscribers Only
Leonardo Van Elswyk,Colorado,C,Redshirt,Out For Season,Subscribers Only
Damarion Vann-Kelly,Pacific,G,Not Injury Related,Out For Season,Subscribers Only
Devin Vanterpool,Florida Atlantic,G,Ankle,Game Time Decision,Subscribers Only
KJ Vasser,Appalachian State,G,Foot,Out For Season,Subscribers Only
Jordan Vick,Jacksonville State,G,Undisclosed,Out,Subscribers Only
Bencao Vungo,Jacksonville State,F,Undisclosed,Out,Subscribers Only
Nash Walker,Marquette,G,Redshirt,Out For Season,Subscribers Only
Vijay Wallace,Arizona State,G,Ankle,Out For Season,Subscribers Only
Reggie Ward,Bethune-Cookman,F,Undisclosed,Out For Season,Subscribers Only
Gevonte Ware,Rutgers,C,Undisclosed,Game Time Decision,Subscribers Only
Tyreese Watson,UTEP,G,Knee,Out For Season,Subscribers Only
Xander Wedlow,St. Bonaventure,F,Knee,Out,Subscribers Only
Carter Welling,Clemson,F,Knee,Out For Season,Subscribers Only
Zamoku Weluche-Ume,North Carolina A&T,F,Transfer Portal,Out,Subscribers Only
Brandon Weston,Tennessee State,G,Undisclosed,Out,Subscribers Only
Kason Westphal,Xavier,C,Redshirt,Game Time Decision,Subscribers Only
Jack Whitbourn,Fordham,C,Back,Out,Subscribers Only
JJ White,Baylor,G,Foot,Game Time Decision,Subscribers Only
James White,New Orleans,G,Transfer Portal,Out,Subscribers Only
Sebastian Wilkins,Duke,F,Redshirt,Out For Season,Subscribers Only
Mason Williams,Iowa State,G,Hip,Out For Season,Subscribers Only
A'Meir Williams,Louisiana Tech,F,Undisclosed,Out For Season,Subscribers Only
Chansey Willis,Minnesota,G,Ankle,Out For Season,Subscribers Only
Caleb Wilson,North Carolina,F,Thumb,Out For Season,Subscribers Only
Piotr Winkowski,San Diego,C,Undisclosed,Game Time Decision,Subscribers Only
Christian Wise,San Jose State,F,Undisclosed,Out,Subscribers Only
Michael Wolf,Xavier,G,Undisclosed,Game Time Decision,Subscribers Only
Aaron Womack,Syracuse,G,Redshirt,Out For Season,Subscribers Only
Jayshayne Woodard,East Carolina,G,Ankle,Out For Season,Subscribers Only
Savon Wykle,Middle Tennessee St.,F,Undisclosed,Out,Subscribers Only
Kase Wynott,Washington State,G,Hip,Game Time Decision,Subscribers Only
Abu Yarmah,South Carolina,G,Redshirt,Out For Season,Subscribers Only
Doug Young,Prairie View,G,Undisclosed,Out,Subscribers Only
Nathan Zulemie,Fresno State,G,Knee,Out For Season,Subscribers Only
L.J. Cason,Michigan,G,Knee,Out For Season,Subscribers Only
Casey Jones,Washington State,F,Redshirt,Out For Season,Subscribers Only
